snapshot_id,seq_num,time_since_start_ms,timestamp_epoch_ms,latency_ms,jitter_ms,perceived_position_error,bandwidth_per_client_kbps
0,0,1.69,187167.884351,0.272,0.069,0,
1,1,52.528,187218.722541,0.193,0.079,0,
2,2,104.565,187270.759973,0.232,0.039,0,
3,3,155.408,187321.602169,0.217,0.015,0,
4,4,206.199,187372.39365299998,0.152,0.065,0,
5,5,256.873,187423.06763900002,0.145,0.007,0,
6,6,307.61,187473.804259,0.092,0.054,0,
7,7,358.128,187524.322156,0.124,0.032,0,
8,8,408.894,187575.08857700002,0.102,0.023,0,
9,9,459.472,187625.666317,0.12,0.018,0,
10,10,510.264,187676.45867999998,0.189,0.069,0,
11,11,560.907,187727.101469,0.092,0.097,0,
12,12,611.651,187777.845237,0.136,0.044,0,
13,13,662.097,187828.291504,0.104,0.031,0,
14,14,713.2,187879.39455899998,0.105,0.0,0,
15,15,764.005,187930.199066,0.127,0.022,0,
16,16,814.625,187980.819594,0.118,0.008,0,
17,17,865.382,188031.576839,0.133,0.014,0,
18,18,915.86,188082.054782,0.08,0.052,0,
19,19,966.524,188132.71867700003,0.111,0.031,0,
20,20,1017.213,188183.407264,0.117,0.006,0,
21,21,1067.768,188233.96205,0.117,0.0,0,
22,22,1118.584,188284.77818,0.127,0.01,0,
23,23,1169.197,188335.391373,0.155,0.027,0,
24,24,1219.654,188385.84831399997,0.117,0.038,0,
25,25,1270.416,188436.610197,0.121,0.005,0,
26,26,1321.137,188487.331982,0.136,0.014,0,
27,27,1372.17,188538.36486099998,0.126,0.009,0,
28,28,1422.718,188588.912089,0.097,0.029,0,
29,29,1473.161,188639.355503,0.098,0.001,0,
30,30,1524.035,188690.229894,0.17,0.071,0,
31,31,1574.454,188740.648523,0.097,0.073,0,
32,32,1624.93,188791.124378,0.099,0.002,0,
33,33,1675.478,188841.672715,0.118,0.019,0,
34,34,1726.265,188892.45954699998,0.112,0.006,0,
35,35,1777.225,188943.419882,0.184,0.073,0,
36,36,1828.257,188994.45111700002,0.121,0.064,0,
37,37,1879.275,189045.46975400002,0.121,0.0,0,
38,38,1929.848,189096.04206,0.114,0.007,0,
39,39,1980.466,189146.660379,0.145,0.031,0,
40,40,2031.264,189197.458857,0.142,0.003,0,
41,41,2082.053,189248.24746400001,0.115,0.028,0,
42,42,2132.832,189299.027016,0.135,0.02,0,
43,43,2183.365,189349.559679,0.12,0.015,0,
44,44,2233.89,189400.08489499998,0.16,0.04,0,
45,45,2284.394,189450.5883,0.12,0.041,0,
46,46,2335.535,189501.729927,0.168,0.049,0,
47,47,2388.911,189555.10554299998,0.165,0.004,0,
48,48,2439.944,189606.138933,0.19,0.026,0,
49,49,2490.516,189656.710998,0.099,0.091,0,
50,50,2541.851,189708.04596,0.147,0.048,0,
51,51,2592.419,189758.613658,0.103,0.044,0,
52,52,2643.209,189809.40322,0.098,0.005,0,
53,53,2693.928,189860.122987,0.09,0.008,0,
54,54,2744.792,189910.986349,0.131,0.041,0,
55,55,2795.293,189961.48765,0.1,0.031,0,
56,56,2846.415,190012.609868,0.275,0.175,0,
57,57,2897.007,190063.20157600002,0.087,0.189,0,
58,58,2947.594,190113.788156,0.103,0.017,0,
59,59,2998.233,190164.427092,0.092,0.011,0,
60,60,3048.731,190214.925574,0.098,0.006,0,
61,61,3099.19,190265.384242,0.102,0.003,0,
62,62,3150.497,190316.691417,0.196,0.095,0,
63,63,3201.25,190367.444185,0.203,0.006,0,
64,64,3252.751,190418.945894,0.352,0.15,0,
65,65,3303.853,190470.047098,0.32,0.032,0,
66,66,3355.217,190521.411769,0.195,0.125,0,
67,67,3406.913,190573.10763800002,0.272,0.077,0,
68,68,3458.979,190625.173209,0.206,0.066,0,
69,69,3511.306,190677.50022699998,0.191,0.015,0,
70,70,3562.204,190728.398968,0.156,0.035,0,
71,71,3613.271,190779.465168,0.173,0.017,0,
72,72,3664.268,190830.462921,0.142,0.031,0,
73,73,3716.01,190882.20496899998,0.378,0.235,0,
74,74,3768.374,190934.56821199998,0.213,0.165,0,
75,75,3819.547,190985.741102,0.126,0.087,0,
76,76,3871.065,191037.25987,0.139,0.013,0,
77,77,3921.701,191087.895628,0.137,0.002,0,
78,78,3972.667,191138.861324,0.256,0.119,0,
79,79,4023.732,191189.926645,0.152,0.104,0,
80,80,4075.389,191241.58372599998,0.353,0.201,0,
81,81,4126.15,191292.344316,0.121,0.231,0,
82,82,4177.277,191343.471101,0.152,0.031,0,
83,83,4227.944,191394.138524,0.121,0.031,0,
