snapshot_id,seq_num,time_since_start_ms,timestamp_epoch_ms,latency_ms,jitter_ms,perceived_position_error,bandwidth_per_client_kbps
0,0,5814.322,954136.793919,100.545,0.415,0,
1,1,5865.022,954187.494403,100.159,0.386,0,
2,2,5916.338,954238.809896,100.245,0.086,0,
3,3,5967.035,954289.507319,100.297,0.052,0,
4,4,6018.015,954340.487642,100.268,0.028,0,
5,5,6068.736,954391.20795,100.274,0.006,0,
6,6,6119.224,954441.695988,100.174,0.099,0,
7,7,6170.018,954492.490211,100.237,0.062,0,
8,8,6220.738,954543.209974,100.525,0.289,0,
9,9,6270.998,954593.4701700001,100.109,0.416,0,
10,10,6321.819,954644.291571,100.129,0.02,0,
11,11,6372.461,954694.933682,100.086,0.043,0,
12,12,6423.105,954745.5768769999,100.229,0.143,0,
13,13,6473.676,954796.148136,100.151,0.078,0,
14,14,6525.272,954847.7445040001,100.264,0.112,0,
15,15,6575.893,954898.36566,100.507,0.244,0,
16,16,6626.614,954949.0858410001,100.773,0.266,0,
17,17,6677.493,954999.96558,100.571,0.202,0,
18,18,6728.818,955051.289993,100.679,0.108,0,
19,19,6778.953,955101.424939,100.272,0.407,0,
20,20,6830.072,955152.5447120001,100.493,0.221,0,
21,21,6880.323,955202.794919,100.273,0.22,0,
22,22,6930.875,955253.3473339999,100.111,0.162,0,
23,23,6981.707,955304.179332,100.237,0.126,0,
24,24,7032.902,955355.374192,100.701,0.464,0,
25,25,7083.236,955405.708317,100.407,0.294,0,
26,26,7134.03,955456.5019970001,100.102,0.305,0,
27,27,7184.875,955507.347179,100.264,0.162,0,
28,28,7235.641,955558.1133399999,100.213,0.051,0,
29,29,7286.519,955608.991366,100.094,0.119,0,
30,30,7337.288,955659.759954,100.499,0.405,0,
31,31,7387.534,955710.0063929999,100.118,0.381,0,
32,32,7438.467,955760.9395529999,100.182,0.064,0,
33,33,7490.269,955812.740862,100.563,0.381,0,
34,34,7540.59,955863.062033,100.399,0.164,0,
35,35,7591.338,955913.810374,100.213,0.186,0,
36,36,7642.551,955965.0233270001,100.115,0.098,0,
37,37,7693.226,956015.698283,100.269,0.154,0,
38,38,7743.849,956066.320831,100.196,0.073,0,
39,39,7794.426,956116.897964,100.189,0.008,0,
40,40,7845.515,956167.987235,100.738,0.549,0,
41,41,7895.449,956217.921204,100.191,0.547,0,
42,42,7946.131,956268.603638,100.093,0.099,0,
43,43,7998.816,956321.2878030001,102.372,2.279,0,
44,44,8047.496,956369.9679180001,100.355,2.017,0,
45,45,8098.145,956420.6169169999,100.48,0.125,0,
46,46,8148.528,956470.999799,100.337,0.142,0,
