snapshot_id,seq_num,time_since_start_ms,timestamp_epoch_ms,latency_ms,jitter_ms,perceived_position_error,bandwidth_per_client_kbps
1,1,5201.626,435753.81068299996,0.39,0.313,0,
2,2,5252.809,435804.99441900005,0.224,0.166,0,
3,3,5303.911,435856.095829,0.295,0.071,0,
4,4,5355.138,435907.322661,0.278,0.017,0,
5,5,5406.09,435958.274545,0.151,0.126,0,
6,6,5456.674,436008.858987,0.092,0.059,0,
7,7,5507.549,436059.73436400003,0.233,0.14,0,
8,8,5558.792,436110.97714800003,0.181,0.052,0,
9,9,5609.444,436161.628902,0.248,0.066,0,
10,10,5659.893,436212.077604,0.137,0.111,0,
11,11,5710.539,436262.72353799996,0.135,0.002,0,
12,12,5761.144,436313.32871699997,0.225,0.089,0,
13,13,5811.761,436363.94617500005,0.115,0.11,0,
14,14,5862.684,436414.869197,0.183,0.068,0,
15,15,5913.34,436465.52516200003,0.315,0.131,0,
16,16,5963.94,436516.124992,0.153,0.162,0,
17,17,6014.606,436566.79058499995,0.146,0.007,0,
18,18,6065.21,436617.394979,0.221,0.075,0,
19,19,6115.664,436667.848885,0.133,0.088,0,
20,20,6166.091,436718.27558899997,0.134,0.001,0,
21,21,6216.648,436768.83327899995,0.142,0.008,0,
22,22,6267.295,436819.480403,0.158,0.016,0,
23,23,6318.635,436870.820444,0.097,0.062,0,
24,24,6369.428,436921.613104,0.127,0.03,0,
25,25,6420.226,436972.411248,0.215,0.089,0,
27,27,6522.584,437074.769257,0.139,0.077,0,
28,28,6573.759,437125.944402,0.193,0.054,0,
29,29,6624.571,437176.756446,0.158,0.035,0,
30,30,6675.481,437227.665673,0.163,0.005,0,
31,31,6726.354,437278.538829,0.132,0.03,0,
32,32,6777.188,437329.372554,0.099,0.033,0,
33,33,6827.992,437380.17687799997,0.185,0.085,0,
34,34,6879.396,437431.580472,0.292,0.107,0,
35,35,6930.035,437482.22032799997,0.125,0.167,0,
36,36,6980.625,437532.80959699996,0.081,0.044,0,
37,37,7031.176,437583.360832,0.143,0.063,0,
38,38,7082.209,437634.394258,0.081,0.063,0,
39,39,7132.703,437684.88838,0.08,0.0,0,
40,40,7183.389,437735.573666,0.238,0.158,0,
41,41,7233.975,437786.159494,0.086,0.152,0,
42,42,7284.725,437836.910371,0.225,0.139,0,
43,43,7335.226,437887.41105000005,0.092,0.132,0,
44,44,7385.977,437938.162413,0.221,0.129,0,
45,45,7436.742,437988.926606,0.275,0.054,0,
46,46,7487.187,438039.372022,0.17,0.106,0,
47,47,7539.049,438091.234257,0.076,0.094,0,
48,48,7589.729,438141.91363200004,0.186,0.111,0,
49,49,7641.053,438193.237512,0.2,0.013,0,
50,50,7691.864,438244.049223,0.15,0.05,0,
51,51,7742.379,438294.564009,0.078,0.072,0,
52,52,7793.065,438345.24970299995,0.136,0.058,0,
53,53,7844.118,438396.303172,0.188,0.052,0,
54,54,7895.172,438447.357043,0.336,0.148,0,
55,55,7945.745,438497.930013,0.19,0.146,0,
56,56,7996.397,438548.58156300004,0.116,0.074,0,
57,57,8047.261,438599.445829,0.355,0.239,0,
58,58,8098.108,438650.29332500004,0.151,0.204,0,
59,59,8149.52,438701.705237,0.537,0.386,0,
60,60,8200.491,438752.67635699996,0.24,0.296,0,
61,61,8251.542,438803.72647500003,0.142,0.099,0,
62,62,8302.438,438854.62248900003,0.137,0.005,0,
63,63,8354.126,438906.31077299995,0.453,0.316,0,
64,64,8404.395,438956.58021499997,0.096,0.356,0,
65,65,8456.012,439008.196596,0.434,0.337,0,
66,66,8506.605,439058.79027,0.099,0.335,0,
67,67,8557.524,439109.709328,0.253,0.154,0,
68,68,8608.405,439160.590017,0.097,0.156,0,
69,69,8660.123,439212.30824700004,0.219,0.121,0,
70,70,8710.715,439262.900024,0.114,0.104,0,
71,71,8761.852,439314.036839,0.197,0.083,0,
72,72,8812.303,439364.48821800004,0.094,0.103,0,
73,73,8863.165,439415.349908,0.135,0.041,0,
74,74,8913.902,439466.087201,0.157,0.022,0,
75,75,8964.865,439517.04957599996,0.182,0.025,0,
76,76,9016.786,439568.970971,0.11,0.072,0,
77,77,9068.058,439620.242874,0.151,0.041,0,
78,78,9118.903,439671.088017,0.167,0.016,0,
79,79,9169.527,439721.71173499996,0.119,0.048,0,
80,80,9220.489,439772.6742,0.244,0.126,0,
81,81,9271.259,439823.443561,0.155,0.089,0,
82,82,9321.831,439874.016015,0.141,0.014,0,
83,83,9372.759,439924.94403799996,0.189,0.048,0,
84,84,9423.62,439975.804967,0.166,0.023,0,
85,85,9474.707,440026.89201300003,0.208,0.042,0,
86,86,9525.417,440077.60233900003,0.225,0.017,0,
87,87,9576.562,440128.747355,0.302,0.077,0,
88,88,9627.011,440179.195981,0.111,0.191,0,
89,89,9677.87,440230.054637,0.236,0.126,0,
90,90,9728.536,440280.721282,0.171,0.066,0,
91,91,9779.409,440331.59388500004,0.108,0.063,0,
92,92,9830.192,440382.37658499996,0.163,0.055,0,
93,93,9882.045,440434.22948599997,0.994,0.832,0,
94,94,9932.547,440484.73154099996,0.198,0.796,0,
95,95,9983.206,440535.390939,0.12,0.078,0,
96,96,10033.96,440586.144662,0.19,0.07,0,
97,97,10084.603,440636.787771,0.125,0.065,0,
98,98,10135.307,440687.491652,0.187,0.062,0,
99,99,10187.007,440739.191889,0.239,0.052,0,
100,100,10237.705,440789.890075,0.222,0.017,0,
101,101,10288.52,440840.704699,0.141,0.081,0,
102,102,10339.248,440891.433384,0.313,0.171,0,
103,103,10390.108,440942.293072,0.272,0.04,0,
104,104,10441.65,440993.83447999996,0.233,0.04,0,
105,105,10492.649,441044.833575,0.157,0.076,0,
106,106,10543.201,441095.386183,0.122,0.035,0,
107,107,10594.673,441146.858137,0.211,0.089,0,
108,108,10645.925,441198.110131,0.119,0.092,0,
109,109,10697.067,441249.252125,0.305,0.186,0,
110,110,10747.761,441299.94584999996,0.14,0.165,0,
111,111,10798.717,441350.901546,0.283,0.143,0,
112,112,10849.286,441401.470894,0.088,0.195,0,
113,113,10899.868,441452.05315,0.118,0.03,0,
114,114,10950.445,441502.62994500005,0.113,0.005,0,
115,115,11001.065,441553.249803,0.183,0.07,0,
116,116,11051.629,441603.81401900004,0.111,0.073,0,
117,117,11102.335,441654.520162,0.102,0.009,0,
118,118,11153.22,441705.405442,0.23,0.129,0,
119,119,11203.887,441756.071752,0.105,0.126,0,
120,120,11255.2,441807.385404,0.246,0.141,0,
121,121,11306.52,441858.704945,0.386,0.14,0,
122,122,11357.481,441909.665694,0.227,0.158,0,
123,123,11408.881,441961.065857,0.337,0.11,0,
124,124,11460.141,442012.326449,0.335,0.003,0,
125,125,11511.226,442063.41068900004,0.306,0.029,0,
126,126,11562.079,442114.264389,0.145,0.161,0,
127,127,11613.226,442165.410889,0.352,0.207,0,
128,128,11663.775,442215.959928,0.099,0.252,0,
129,129,11714.75,442266.93447700003,0.147,0.048,0,
130,130,11765.463,442317.648204,0.214,0.067,0,
131,131,11816.384,442368.56933,0.217,0.003,0,
132,132,11867.508,442419.692963,0.204,0.014,0,
133,133,11918.163,442470.347663,0.134,0.07,0,
134,134,11969.124,442521.309174,0.342,0.208,0,
135,135,12020.128,442572.31293400005,0.101,0.241,0,
136,136,12070.96,442623.145416,0.129,0.027,0,
137,137,12121.596,442673.78126300004,0.102,0.027,0,
138,138,12172.966,442725.151446,0.21,0.108,0,
139,139,12223.518,442775.70319300005,0.17,0.04,0,
140,140,12274.51,442826.694722,0.181,0.011,0,
141,141,12325.365,442877.549508,0.306,0.125,0,
142,142,12375.884,442928.069457,0.119,0.187,0,
143,143,12426.79,442978.974888,0.235,0.115,0,
144,144,12477.533,443029.717886,0.142,0.092,0,
145,145,12528.63,443080.814801,0.242,0.1,0,
146,146,12579.388,443131.572891,0.23,0.012,0,
147,147,12630.202,443182.38739499997,0.253,0.023,0,
148,148,12680.831,443233.015749,0.115,0.137,0,
150,150,12781.794,443333.979237,0.074,0.041,0,
152,152,12884.465,443436.649744,0.118,0.044,0,
153,153,12935.252,443487.43735,0.09,0.028,0,
154,154,12985.751,443537.936238,0.111,0.021,0,
155,155,13036.336,443588.520491,0.183,0.071,0,
156,156,13086.68,443638.864525,0.09,0.093,0,
157,157,13137.617,443689.802021,0.208,0.117,0,
158,158,13188.741,443740.925875,0.212,0.004,0,
159,159,13239.792,443791.97674199997,0.191,0.021,0,
160,160,13290.53,443842.71451,0.11,0.081,0,
161,161,13341.374,443893.559084,0.181,0.071,0,
162,162,13392.474,443944.658703,0.151,0.03,0,
163,163,13443.337,443995.522235,0.246,0.095,0,
164,164,13494.09,444046.275066,0.237,0.009,0,
165,165,13545.46,444097.644549,0.18,0.057,0,
166,166,13596.85,444149.03482400003,0.234,0.054,0,
167,167,13647.981,444200.16547799995,0.248,0.014,0,
168,168,13699.122,444251.307345,0.346,0.098,0,
169,169,13749.948,444302.13267300004,0.302,0.045,0,
170,170,13801.16,444353.34492099995,0.334,0.032,0,
171,171,13851.883,444404.068077,0.131,0.203,0,
172,172,13902.926,444455.111225,0.138,0.007,0,
173,173,13953.8,444505.985112,0.173,0.035,0,
174,174,14004.616,444556.80110499996,0.157,0.017,0,
175,175,14056.226,444608.411446,0.189,0.032,0,
176,176,14107.661,444659.846438,0.394,0.204,0,
177,177,14158.775,444710.960432,0.183,0.21,0,
178,178,14209.897,444762.081861,0.238,0.055,0,
179,179,14260.664,444812.848876,0.162,0.076,0,
